Rank,Page Name,Page ID,Active Ads Found,Count Capped,Oldest Active Ad,Days Running,Page Likes,Verified,Facebook URL,Library URL,Sample Ad ID,From Cache
64,Léo Moura,1644854945770211,38,False,23/03/2026,153,136371,False,https://www.facebook.com/leomouraxfit/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1644854945770211,1322472709829374,False
65,Engenheiro Matheus,990387967488804,36,False,02/04/2026,143,37338,False,https://www.facebook.com/61587040951715/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=990387967488804,3903636123107026,False
66,Abela Cosmetics,193584698238790,36,False,07/04/2025,503,3837,False,https://www.facebook.com/abelacosmetics/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=193584698238790,1233810171563619,False
67,Orlando Diferente,339283276496849,36,False,18/06/2025,431,58734,False,https://www.facebook.com/Orlandodiferente/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=339283276496849,2008885563297962,False
68,Esmalte Colorama,141153059326215,34,False,17/08/2026,6,3066490,False,https://www.facebook.com/esmaltecolorama/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=141153059326215,2075424009745276,False
69,Studio Elisa Candido,552465241775388,33,False,12/03/2026,164,12770,False,https://www.facebook.com/studioelisacandido/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=552465241775388,1665259168079225,False
70,Clinica Volpe Estética Corporal,417875092301531,33,False,02/12/2025,264,83950,False,https://www.facebook.com/clinicavolpecorporal/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=417875092301531,856812206719386,False
71,Bio Extratus,275497395816059,33,False,03/08/2026,20,1500626,False,https://www.facebook.com/bioextratus/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=275497395816059,1433881661901338,False
72,Ark Line,1604408033174622,33,False,19/12/2025,247,657679,False,https://www.facebook.com/arklinelisomaster/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1604408033174622,4225705824345012,False
73,Bryce Fromene Serena,156920490842034,33,False,12/08/2026,11,335,False,https://www.facebook.com/61553372311807/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=156920490842034,4648290575393101,False
74,Google,104958162837,32,False,18/08/2026,5,36012655,False,https://www.facebook.com/Google/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=104958162837,1560815132442214,False
75,Desafio em Casa,119204014619448,31,False,18/06/2026,66,7634,False,https://www.facebook.com/61553576334375/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=119204014619448,924558077337409,False
76,Baruc Colchões,2096395773906412,30,False,05/05/2026,110,11166,False,https://www.facebook.com/baruccolchoes/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=2096395773906412,1978311983561610,False
77,Reforma Sem Quebra Quebra,644451588758626,30,False,02/10/2025,325,574,False,https://www.facebook.com/61578066898767/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=644451588758626,1347344666906053,False
